title,agency,career_level,salary_range_from,salary_range_to
Engineer-In-Charge,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80557,111917
Chief Auditor,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,90000
SENIOR ELIGIBILITY SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Dam Safety Project Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),71884,104104
SCADA Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),85371,109990
Payroll Funding Associate,OFF OF PAYROLL ADMINISTRATION,Experienced (non-manager),53057,77124
ASSOC. CHEMIST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),45193,77500
Arraignment Clerk - Complaint Room/DAT/Arraignments Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),37398,37398
Chief Auditor,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,90000
Supervising Epidemiologist,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75504,94761
Chief of Bluebelt Planning and Design,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
Executive Assistant- Bureau of Alcohol and Drug Use Prevention- Care- and Treatment,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58695,72242
ACCOUNTING SPECIALIST,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),75000,85000
Data Analyst Open Data- Data Analytics- and Reporting,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Associate Commissioner - Adult Operations,DEPARTMENT OF PROBATION,Manager,72038,192152
Cook,DEPARTMENT OF CORRECTION,Entry-Level,36627,41388
Assistant Mechanical Engineer,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,57078,85646
STRATEGIC INITIATIVES MANAGER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,83981
Director of Legislative and Intergovernmental Affairs,FIRE DEPARTMENT,Experienced (non-manager),58700,120000
Summer Camp Counselor,DEPT OF PARKS & RECREATION,Entry-Level,17.72,17.72
Summer Camp Counselor,DEPT OF PARKS & RECREATION,Entry-Level,17.72,17.72
EHS Training Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70611,105138
Social Media Paralegal - Library,LAW DEPARTMENT,Experienced (non-manager),43197,49677
Neighborhood Planner,NYC HOUSING AUTHORITY,Manager,58700,161534
Analyst - Vendor Management,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),38333,63794
Bioinformatics Scientist- Bureau of the Public Health Laboratory,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,97138
Plan Examiner,FIRE DEPARTMENT,Experienced (non-manager),57078,85646
Assistant Commissioner for Enforcement,TAXI & LIMOUSINE COMMISSION,Manager,72038,192152
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Civil Service Coordinator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53057,77124
Civil Engineer II,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80557,111917
DIRECTOR- DHS AUDIT SERVICES,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58700,118167
SENIOR FULL STACK .NET DEVELOPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),75000,125000
Civil Engineer II,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
ENROLLMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),54100,83981
Data Engineer,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),100743,115854
Constituent Services Coordinator for the Division of Housing Supervision,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Marine Scientist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),65877,93984
Program Manager,DEPARTMENT OF PROBATION,Entry-Level,38333,63794
Marine Electronics Technician,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),86620,128073
Analyst Compliance- Monitoring and Closeout,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
IT Automation Engineer- Cloud Services,TECHNOLOGY & INNOVATION,Experienced (non-manager),98901,122000
Grants Administrator (CDBG),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53057,76586
Civil Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,62260
Call Center,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),38333,44083
ASSISTANT CIVIL ENGINEER,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
DEPUTY DIRECTOR OF COMMUNICATIONS,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58700,173486
Inspector,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,45722,52580
Inspector- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,52580
Assistant Director of Leasing and Acquisitions,DEPT OF CITYWIDE ADMIN SVCS,Manager,110000,114250
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),66430,76394
City Park Worker,DEPT OF PARKS & RECREATION,Entry-Level,16.6264,16.6264
SPECIAL ASSISTANT TO THE CHIEF OF HOMELESS PREVENT...,HRA/DEPT OF SOCIAL SERVICES,Manager,94715,125000
Director- Out-of-School Youth Employment,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),64749,134280
Prosecuting Attorney Interne,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),62397,75760
Discovery Specialist,DISTRICT ATTORNEY RICHMOND COU,Entry-Level,50000,55000
Assistant Environmental Engineer,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,57078,85646
Environmental Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,59125
Electrical Engineer/Project Manager,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),80557,110000
ADMINISTRATIVE ACCOUNTANT,NYC EMPLOYEES RETIREMENT SYS,Experienced (non-manager),58700,161534
PREA COMPLIANCE MANAGER,DEPARTMENT OF CORRECTION,Experienced (non-manager),61302,70497
Director of Digital Transformation,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80931,208826
Deputy Chief Information Officer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),0,180000
Healthy Homes Lead follow up Specialist- Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),38333,53660
Accountant,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),64857,98100
WEB APPLICATION DEVELOPER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),110000,115000
HR/ Records Control/ Health Benefits Coordinator,NYC HOUSING AUTHORITY,Experienced (non-manager),41887,69709
Supervisor of Audits and Accounts,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58700,88070
.NET Programmer/Analyst for the Office of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),96023,106023
ELEVATOR MECHANIC HELPER,NYC HOUSING AUTHORITY,Experienced (non-manager),35,35
Deputy Commissioner- Budget & Finance,DEPARTMENT OF CORRECTION,Executive,195000,225000
Senior Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),43929,57093
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
Summer Graduate Intern  Environmental Sustainability and Resiliency,OFFICE OF MANAGEMENT & BUDGET,Student,19.5,19.5
Highway Drainage Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),92301,121296
Digital Transformation Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),78795,113300
Project Development Coordinator for Brooklyn Operations,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Project Development Coordinator for Brooklyn Operations,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
ASSISTANT PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
City Planner,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),71255,104894
Data Processor,OFFICE OF LABOR RELATIONS,Entry-Level,32520,42191
Grants Application Coordinator,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),65208,95993
Senior Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),48003,62387
Procurement Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),60010,100875
Scheduler,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47418,69462
Application Developer,DEPARTMENT OF SANITATION,Experienced (non-manager),75000,180000
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),39763,60350
BUSINESS ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),58700,95000
Civil Engineering Intern,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),51413,62260
EEO Officer,TECHNOLOGY & INNOVATION,Executive,80931,160000
Crime Strategy Analyst,DISTRICT ATTORNEY RICHMOND COU,Entry-Level,50000,60000
Deputy General Counsel,HUMAN RIGHTS COMMISSION,Manager,58700,120275
SENIOR DEVELOPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),85371,98177
Help Desk Consultant- Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),38333,44083
Senior HR Analyst,DEPARTMENT OF FINANCE,Experienced (non-manager),71840,80008
Kids in Motion Playground Associate,DEPT OF PARKS & RECREATION,Entry-Level,17.72,17.72
Kids in Motion Playground Associate,DEPT OF PARKS & RECREATION,Entry-Level,17.72,17.72
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,77921
Data Entry/Registration Clerk- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,36390,50000
Civil Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,59125
Safety and Equipment Training Specialist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),45428,68741
Associate Park Service Worker,DEPT OF PARKS & RECREATION,Experienced (non-manager),21.76,21.76
Supervisor Electrician,NYC HOUSING AUTHORITY,Experienced (non-manager),67.72,67.72
Child Care Inspector- Bureau of Childcare,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,45722
Deputy Director of Fine and Performing Arts,DEPARTMENT OF CORRECTION,Manager,76270,95000
EHS/CRM Information Systems Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75000,160000
Claims Review Specialist,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
W-2 Records Officer,OFF OF PAYROLL ADMINISTRATION,Experienced (non-manager),48181,69222
Recruitment and DEI Policy Coordinator,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),74710,80568
Environmental Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),57078,65640
Construction Project Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
OFFICE MANAGER - Brooklyn B/C Office,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),66322,90000
Deputy Director of Finance- Bureau of Mental Hygiene Administration,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),94715,97850
Vision Zero Research Scientist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),75504,86830
Unit Head  Economic Development,OFFICE OF MANAGEMENT & BUDGET,Manager,103307,103307
Desktop Support,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),54281,63860
PEU OUTREACH SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),40687,56707
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
PEOPLESOFT DEVELOPER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),110000,120000
SUPERVISING HOUSING GROUNDSKEEPER (HA),NYC HOUSING AUTHORITY,Experienced (non-manager),40065,65449
Data Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),63053,88600
BUSINESS ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),58700,95000
Chief Auditor- Energy Code,DEPARTMENT OF BUILDINGS,Experienced (non-manager),58682,125424
Director of Customer Support - IT Division,LAW DEPARTMENT,Experienced (non-manager),130000,130000
Civil Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),51413,62260
PEOPLESOFT TECHNO-FUNCTIONAL ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),115000,130000
DEPUTY DIRECTOR OF COMMUNICATIONS,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58700,173486
Executive Director of Inclusionary Housing for the Office of Development,HOUSING PRESERVATION & DVLPMNT,Executive,120000,130000
Water Treatment Plant Operator,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,45587,63821
UNIT CLERK,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),36390,41848
WorkWell NYC Assistant Director,OFFICE OF LABOR RELATIONS,Experienced (non-manager),84468,111003
Mechanical Group Leader,DEPARTMENT OF SANITATION,Manager,58700,161534
General Counsel,DEPARTMENT OF TRANSPORTATION,Executive,116506,252165
City Seasonal Aide,DEPT OF PARKS & RECREATION,Entry-Level,15.45,15.45
City Seasonal Aide,DEPT OF PARKS & RECREATION,Entry-Level,15.45,15.45
DEPUTY COMMISSIONER OF STRATEGIC PARTNERSHIPS,HRA/DEPT OF SOCIAL SERVICES,Manager,135000,162000
DESIGN LEAD ARCHITECTURAL,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
SENIOR SOFTWARE ENGINEER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),75000,120000
COMPASS Director,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),64749,134280
Citywide Health and Safety Planner- Bureau of Agency Preparedness and Response,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75504,86830
Summer Graduate Intern  Environmental Sustainability and Resiliency,OFFICE OF MANAGEMENT & BUDGET,Student,19.5,19.5
Health Insurance Biller- Bureau of Budget and Revenue,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,62820
Telemetry Physician,FIRE DEPARTMENT,Experienced (non-manager),79.23,84.86
CLAIM SPECIALIST,LAW DEPARTMENT,Experienced (non-manager),41483,47705
Disbursement Supervisor,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),46700,68092
Supervisor of Stock Workers,DEPARTMENT OF SANITATION,Experienced (non-manager),39779,61438
Director of Legislative Affairs (Upstate),DEPT OF ENVIRONMENT PROTECTION,Manager,72038,170000
Assistant District Attorney Fall 2024,BRONX DISTRICT ATTORNEY,Entry-Level,73579,75121
WEBSPHERE ADMINISTRATOR,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),100000,129000
SCADA Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),85371,109990
ASSISTANT PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Crime Strategy Analyst,DISTRICT ATTORNEY RICHMOND COU,Entry-Level,50000,60000
SUMMER GRADUATE INTERN,POLICE DEPARTMENT,Student,20.57,20.57
Program Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),59116,72000
Enterprise Data Architect,NYC HOUSING AUTHORITY,Experienced (non-manager),0,180000
DIRECTOR OF SUPPORTIVE HOUSING,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),94715,112000
Public Health Navigator- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Supervisor (Watershed Maintenance) I,DEPT OF ENVIRONMENT PROTECTION,Manager,69006,86450
Chief of Staff to the Deputy Commissioner for Environment and Planning,DEPT OF PARKS & RECREATION,Experienced (non-manager),105000,112000
Chief Experience and Transformation Officer,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),100000,150000
Over Dimensional Vehicle Router,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
Clerical Associate (Part-Time)- Settlements and Adjudications Unit,OFFICE OF THE COMPTROLLER,Experienced (non-manager),18,18
SENIOR PEOPLESOFT SYSTEMS ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),105000,120000
PROJECT DIRECTOR/TECHNICAL TEAM LEAD,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),98901,113736
Identification Investigator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70349,70349
Project Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Administrative Support for the Division of Special Enforcement â  Anti-Harassment Unit (DSE-AHU),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Assistant General Counsel,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),79620,117541
Associate Chemist I,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),47945,82220
Deputy Chief of Staff,OFFICE OF THE COMPTROLLER,Manager,140000,150000
Director of Quality Assurance Compliance and Training,NYC HOUSING AUTHORITY,Manager,149000,157000
Instrumentation Specialist III,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),79326,81319
Data Analytics Specialist,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),75000,90000
Intern / Worksite Wellness Project Coordinator- Administration Office,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),15.5,19.9
CARETAKER J (HA),NYC HOUSING AUTHORITY,Entry-Level,31836,46278
WEB APPLICATION UI DEVELOPER,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),110000,115000
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
WEBSPHERE ADMINISTRATOR,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),100000,129000
Homeless Rental Coordinator for the Division of Housing Opportunity & Program Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Assistant Director of Legislative Affairs,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),54100,65000
Visitor Services Administrator,DEPARTMENT OF CORRECTION,Entry-Level,38333,44083
SILVER STARS- ACCOUNTING SPECIALIST,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),38361,50829
DISBURSEMENT ASSOCIATE,HRA/DEPT OF SOCIAL SERVICES,Entry-Level,36390,58953
Administrative Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53702,97250
ASSOC. CHEMIST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),45193,77500
Assistant District Attorney General Counsel Division: Civil Litigation Bureau / FOIL Unit,BRONX DISTRICT ATTORNEY,Manager,84000,167610
Summer Rising Program Monitor,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),32.3569,50.2288
Supervising Analyst / Unit Head  INTERGOVERNMENTAL RELATIONS,OFFICE OF MANAGEMENT & BUDGET,Experienced (non-manager),83399,103307
Deputy Inspector General,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),58700,110000
Agency Attorney 3,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),79620,117541
In-House EHS Manager,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
Paralegal,DISTRICT ATTORNEY KINGS COUNTY,Experienced (non-manager),48170,48170
Associate Park Service Worker,DEPT OF PARKS & RECREATION,Experienced (non-manager),21.76,21.76
Data Analytics Specialist,DISTRICT ATTORNEY KINGS COUNTY,Experienced (non-manager),67983,67983
EEO Investigator,DEPT OF CITYWIDE ADMIN SVCS,Experienced (non-manager),63795,73364
Community Engagement Coordinator Shop Healthy- Bureau of Health Equity Capacity Building,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),59116,62215.23
PRINCIPAL ASSISTANT TO DEPUTY COMMISSIONER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
Environmental and Occupational Health Scientist- Bureau of Environmental Disease and Injury Prevention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),64140,64140
ACS Wellness Coordinator,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),54100,83981
ServiceNow Architect,NYC HOUSING AUTHORITY,Experienced (non-manager),0,180000
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),56677,65179
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),60793,69912
Deputy Director of Fine and Performing Arts,DEPARTMENT OF CORRECTION,Manager,76270,95000
File Clerk for Facilities (part time),LAW DEPARTMENT,Experienced (non-manager),19.9179,22.9053
SQL ARCHITECT,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),120000,132000
ROSS ZONE COORDINATOR- EAST HARLEM,NYC HOUSING AUTHORITY,Experienced (non-manager),54100,83981
EXECUTIVE DIRECTOR- OFFICE OF CIVIL JUSTICE,HRA/DEPT OF SOCIAL SERVICES,Manager,102292,149310
Resident Communications Associate,NYC HOUSING AUTHORITY,Entry-Level,38333,63794
Data Analytics and Reporting Engineer- Digital Platform Solutions,MAYORS OFFICE OF CONTRACT SVCS,Manager,70000,90000
Assistant Director (Technical Budget),DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),102292,163512
PROJECT SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),92194,119610
Case Manager/Task Supervisor for the Division of Property Management & Client Services,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
RMAS Social Worker,DEPARTMENT OF CORRECTION,Entry-Level,51079,58741
Senior Building Energy and Emissions Auditor,DEPARTMENT OF BUILDINGS,Experienced (non-manager),58682,120000
HR Liaison- Office of Chief Information Officer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,62820
College Aide- Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Student,15.5,19.9
Fleet Supervisor,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),54091,62205
Revenue Analyst- Bureau of Revenue,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),53797,65000
Climber & Pruner,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,59204,73301
Deputy Chief of Staff to the Deputy Commissioner for Urban Park Service and Public Programs,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Research Associate- Bureau of Health Promotion of Justice-Impacted Populations,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75504,86830
Associate Chemist I,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56147,82220
Child Care Associate- Bureau of Childcare,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),20.9814,27.37
Chief of Bluebelt Planning and Design,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,151469
Bronx Borough Planner,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),71255,81943
INDUSTRIAL HYGIENIST,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),47390,67023
Structural Engineer,NYC HOUSING AUTHORITY,Experienced (non-manager),80557,111917
Project Lead â Bike Unit,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
Principal Administrative Associate- Level II,POLICE DEPARTMENT,Experienced (non-manager),53057,77124
TIMEKEEPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),40017,62820
Call Center Director,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),67422,75000
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),39763,60350
Grants Application Coordinator,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),62470,80008
Media Services Technician,POLICE DEPARTMENT,Experienced (non-manager),42798,55908
Front Desk Receptionist,FIRE DEPARTMENT,Experienced (non-manager),40017,46019
Data Scientist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),75504,94761
PLANNING TEAM LEADER,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),73294,85000
PLASTERER,NYC HOUSING AUTHORITY,Entry-Level,48.27,48.27
Deputy Director of Financial Management,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),65232,113550
Assistant Process Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Data Research Analyst,FIRE DEPARTMENT,Experienced (non-manager),64140,77609
Data Scientist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),75504,94761
Project Engineer,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,60554,90861
Application Developer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),75000,140000
CONFIDENTIAL INVESTIGATOR,NYC HOUSING AUTHORITY,Experienced (non-manager),53956,73140
Analyst   Department of Social Services (DSS) / Human Resources Administration (HRA),OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,73806
Digital Evidence Specialist,BRONX DISTRICT ATTORNEY,Experienced (non-manager),60000,60000
Deputy Commissioner- Chief Information Officer,DEPARTMENT OF CORRECTION,Executive,195000,225000
Recreation Director,DEPARTMENT OF CORRECTION,Experienced (non-manager),41660,47909
Assistant Commissioner- OD&HR,DEPT OF ENVIRONMENT PROTECTION,Executive,175000,208826
Program Director - Silver Corps,DEPARTMENT FOR THE AGING,Manager,80931,95912
Procurement Analyst 2,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),50972,82730
Records Officer,TEACHERS RETIREMENT SYSTEM,Experienced (non-manager),67169,85000
Associate Chemist,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,56147,82220
Deputy Director of Recreation,DEPARTMENT OF CORRECTION,Experienced (non-manager),61302,70497
WATERSHED MAINTAINER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),41033,47188
Deputy Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),56972,123150
Public Health Adviser- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),50027,57531
Homicide Assistant District Attorney,BRONX DISTRICT ATTORNEY,Experienced (non-manager),120000,167610
PROGRAM LIAISON,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),38605,44396
UI/UX Developer - IT Division - Application Services,LAW DEPARTMENT,Experienced (non-manager),110000,110000
QUALITY CONTROL ASSOCIATE,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),50217,65000
Assistant Corporation Counsel- Special Federal Litigation,LAW DEPARTMENT,Experienced (non-manager),75121,133040
Associate Commissioner- Enterprise Development & Architecture,DEPARTMENT OF CORRECTION,Executive,180000,190000
Project Engineer,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,60554,90861
Project Manager,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),65208,95993
Project Manager,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),75000,115000
Senior Energy Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53702,115000
Senior Investigative Auditor,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,75000
College Aide,DEPT OF HEALTH/MENTAL HYGIENE,Student,15.5,16
Freight Program Lead,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),73294,107071
Energy Analyst,POLICE DEPARTMENT,Experienced (non-manager),57078,85646
UNIX SYSTEMS ADMINISTRATOR,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),100000,145000
Analyst - Vendor Management,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),38333,63794
I/C Facilities Plans Reviewer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
HEADCOUNT & BUDGET ANALYST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),70611,81203
